127.0.0.1 - - [25/Apr/2018:10:46:33 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:46:39 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:46:41 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:46:45 +0300] "GET /SercletExamples/adduserform.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:16 +0300] "POST /SercletExamples/adduser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:16 +0300] "GET /SercletExamples/adduser-success.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:21 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:31 +0300] "GET /SercletExamples/editform.jsp?id=3 HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:43 +0300] "POST /SercletExamples/edituser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:47:43 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:00 +0300] "GET /SercletExamples/deleteuser.jsp?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:01 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:23 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:56 +0300] "GET /SercletExamples/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:56 +0300] "GET /SercletExamples/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:48:56 +0300] "GET /SercletExamples/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:49:32 +0300] "POST /SercletExamples/Register HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:49:35 +0300] "GET /SercletExamples/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:49:35 +0300] "GET /SercletExamples/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:49:35 +0300] "GET /SercletExamples/image/wolves.jpg HTTP/1.1" 200 350689
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:49:56 +0300] "POST /SercletExamples/Login HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:50:04 +0300] "POST /SercletExamples/Login HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:57:29 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [25/Apr/2018:10:57:43 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:49:59 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:50:05 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:50:41 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:53:39 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [25/Apr/2018:11:53:42 +0300] "GET /SercletExamples/adduserform.jsp HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:10:35 +0300] "GET /SercletExamples/c_index.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:10:36 +0300] "GET /SercletExamples/adduserform.jsp HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:10:43 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [25/Apr/2018:12:11:36 +0300] "GET /SercletExamples/viewusers.jsp HTTP/1.1" 200 1437
